Run_ID,steps,T_total,N0,N_end
947,866,865.0,49395,10015
948,896,895.0,49383,10016
949,885,884.0,49386,10008
950,886,885.0,49386,10010
951,901,900.0,49380,10001
952,901,900.0,49381,10004
953,953,952.0,49380,10004
954,955,954.0,49384,10017
955,901,900.0,49384,10000
956,900,899.0,49380,10015
957,892,891.0,49388,10007
958,882,881.0,49389,10021
959,873,872.0,49390,10012
960,910,909.0,49389,10013
961,915,914.0,49378,10014
962,868,867.0,49387,10007
963,888,887.0,49385,10013
964,878,877.0,49385,10004
965,914,913.0,49383,10017
966,887,886.0,49387,10008
967,879,878.0,49387,10000
968,887,886.0,49396,10001
969,848,847.0,49390,10021
970,921,920.0,49385,10003
971,874,873.0,49383,10009
972,921,920.0,49385,10005
973,924,923.0,49380,10008
974,883,882.0,49382,10007
975,917,916.0,49385,10014
976,878,877.0,49389,10015
977,891,890.0,49387,10007
978,885,884.0,49390,10005
979,899,898.0,49380,10020
980,860,859.0,49391,10008
981,875,874.0,49383,10002
982,912,911.0,49387,10010
983,890,889.0,49386,10005
984,890,889.0,49386,10014
985,875,874.0,49389,10017
986,858,857.0,49393,10011
987,890,889.0,49386,10005
988,888,887.0,49383,9999
989,901,900.0,49383,10013
990,894,893.0,49385,9997
991,915,914.0,49381,10016
